sku,name,category,price,unit,specs
B-E27-9W,LED Bulb E27 9W,Bulbs,4.99,each,806 lm 2700K 15000h
B-B22-12W,LED Bulb B22 12W,Bulbs,5.49,each,1055 lm 6500K 20000h
C-1.5-TE,Twin & Earth 1.5mm² 100m,Cables,45.00,drum,lighting 14A
C-2.5-TE,Twin & Earth 2.5mm² 100m,Cables,62.00,drum,sockets 24A
C-4-TE,Twin & Earth 4mm² 100m,Cables,95.00,drum,cookers 32A
W-1-FLEX,Flex 1mm² 50m,Wires,18.50,reel,brown/blue/g-y
S-1G-1W,1-Gang 1-Way Switch,Switches,2.49,each,10A 250V white
S-2G-2W,2-Gang 2-Way Switch,Switches,4.29,each,10A 250V white
S-DIM-400,Dimmer Switch 400W,Switches,12.99,each,LED compatible
S-BELL,Bell Push Brass,Switches,6.99,each,5A doorbell
